Service;Nom_Cle_Partagee;Nom_commercial ;Nom technique;URL d'acces
TMS;administratif;Admin EXPRESS;ADMIN_EXPRESS;https://wxs.ign.fr/administratif/geoportail/tms/1.0.0/ADMIN_EXPRESS/metadata.json/
WFS;administratif;ADMIN EXPRESS COG 2022 - arrondissement;ADMINEXPRESS-COG.LATEST:arrondissement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - arrondissement_municipal;ADMINEXPRESS-COG.LATEST:arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - canton;ADMINEXPRESS-COG.LATEST:canton;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - cheflieu_arrondissement_municipal;ADMINEXPRESS-COG.LATEST:chflieu_arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - cheflieu_commune;ADMINEXPRESS-COG.LATEST:chflieu_commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - cheflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG.LATEST:chflieu_commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - collectivite_territoriale;ADMINEXPRESS-COG.LATEST:collectivite_territoriale;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - commune;ADMINEXPRESS-COG.LATEST:commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - commune_associee_ou_deleguee;ADMINEXPRESS-COG.LATEST:commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - departement;ADMINEXPRESS-COG.LATEST:departement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - epci;ADMINEXPRESS-COG.LATEST:epci;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG 2022 - region;ADMINEXPRESS-COG.LATEST:region;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - arrondissement;ADMINEXPRESS-COG-CARTO.LATEST:arrondissement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - arrondissement_municipal;ADMINEXPRESS-COG-CARTO.LATEST:arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - canton;ADMINEXPRESS-COG-CARTO.LATEST:canton;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - cheflieu_arrondissement_municipal;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - cheflieu_commune;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - cheflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - collectivite_territoriale;ADMINEXPRESS-COG-CARTO.LATEST:collectivite_territoriale;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;administratif;ADMIN EXPRESS COG CARTO 2022 - commune;ADMINEXPRESS-COG-CARTO.LATEST:commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
